,title,appId,url,icon,developer,developerId,priceText,price,free,summary,scoreText,score,currency
93,Block Craft 3D: Building Simulator Games For Free,com.fungames.blockcraft,https://play.google.com/store/apps/details?id=com.fungames.blockcraft,https://play-lh.googleusercontent.com/o1US_4bdFr8LZezyp5IQ0n3yAnmskur9iXxhM4xKFKfiE9k85_PsVd7fs2IiJie2H9Vj,Fun Games For Free,Fun+Games+For+Free,FREE,0.0,True,Have fun building your city in this 3D simulation game! Download now for free!,4.2,4.2037787,
94,Pencil Rush 3D,com.pencil.madness,https://play.google.com/store/apps/details?id=com.pencil.madness,https://play-lh.googleusercontent.com/zLI26Q43lVq1h2Hcon1srXBlD-h0ZtWC3Y9PR9V1kmJgGWY4z3DkizP9j-C4JxQgtK4,Gismart,6462287121578018300,FREE,0.0,True,"Run color pens, draw &amp; dash!",4.1,4.1031985,
95,Tomb of the Mask,com.playgendary.tom,https://play.google.com/store/apps/details?id=com.playgendary.tom,https://play-lh.googleusercontent.com/gTd127I81O2i2Q6kfCJoN-M0OSWmgsdjB47orUFpLwANW7VZLJYrOxMVt-OpilDXszg,Playgendary Limited,4614678246860437532,FREE,0.0,True,Addictive tomb labyrinth. Time limit and lava are advancing – go only up!,4.4,4.384366,
96,Water Sort Puzzle - Color Sorting Game,com.gma.water.sort.puzzle,https://play.google.com/store/apps/details?id=com.gma.water.sort.puzzle,https://play-lh.googleusercontent.com/dkULB4EqST928ztOU5vElGEDJDiQAl3FHULGRwhmpcgbcPQaUBZfE4berJ8WDgv2CmRZ,IEC Global Pty Ltd,IEC+Global+Pty+Ltd,FREE,0.0,True,How smart are you?,3.9,3.9464679,
97,Paint By Number - Coloring Book & Color by Number,paint.by.number.pixel.art.coloring.drawing.puzzle,https://play.google.com/store/apps/details?id=paint.by.number.pixel.art.coloring.drawing.puzzle,https://play-lh.googleusercontent.com/SDM2OtiKT5bc76242_N1IibmmZVAq1hieDOP7rk-EJVL8dUBxqXMTqlHajHJUysTKw,Better Life - Color and Draw,8186440931703540103,FREE,0.0,True,"So relaxing and funny coloring game, I can’t stop playing it!😱",4.5,4.518046,
98,"Papers Grade, Please!",com.hyperdivestudio.papersgradeplease,https://play.google.com/store/apps/details?id=com.hyperdivestudio.papersgradeplease,https://play-lh.googleusercontent.com/8jPPDxUrr2WB9Fslc-VaFvEYHa1ktDsy-Nh7erSgL_Bt67ihAo8CpmNrLr5EQSbKoYE,Lion Studios,6990178528646658622,FREE,0.0,True,"Grade the students! It may look easy, but the students can really surprise you!",4.2,4.2185793,
99,Fishdom,com.playrix.fishdomdd.gplay,https://play.google.com/store/apps/details?id=com.playrix.fishdomdd.gplay,https://play-lh.googleusercontent.com/83UIBGDsUeiJDR0bZPxT4xai5iqKXj6-3V6Snrqq3suXDSapL93Vf_fP6tJL5qEjEoM7,Playrix,6598096594674427568,FREE,0.0,True,Swap and match to create lovely homes for adorable fish!,4.4,4.385154,
100,Sniper 3D: Fun Free Online FPS Shooting Game,com.fungames.sniper3d,https://play.google.com/store/apps/details?id=com.fungames.sniper3d,https://play-lh.googleusercontent.com/neJH-xq-145ZTnPZN_SD7VEuABVOqqhQ4-wxyphHSVUKHqkTGLqjocFOYoQMQahiWohv,Fun Games For Free,Fun+Games+For+Free,FREE,0.0,True,Free online &amp; offline multiplayer FPS game. Play as a top sniper assassin!,4.3,4.3328853,
101,Clawee™ - A Real Claw Machine & Crane Game Online,com.gigantic.clawee,https://play.google.com/store/apps/details?id=com.gigantic.clawee,https://play-lh.googleusercontent.com/y83nTp9L6v8iVNFVODQONtrxkoOO2ziW7aPA1nVxflj7e1nhhialxinJ6eEVf2YhtrI,Gigantic Ltd.,Gigantic+Ltd.,FREE,0.0,True,Online Claw Machines 🎉Free Coins Waiting For You 🎉Play Now &amp; Claim Your Prize!,4.1,4.138496,
102,Breaker Fun - Bricks Crusher on Rescue Adventures,com.bricksbreaker.balls.crusher.bricks,https://play.google.com/store/apps/details?id=com.bricksbreaker.balls.crusher.bricks,https://play-lh.googleusercontent.com/mTvI9msLJAAWc0b16qkHWncLqBMxJLADP7t51lFknnKHeNUKeuXOxEEHfMK8lb7fBQ,mogame,mogame,FREE,0.0,True,Great brick ball crusher with rescue puzzles! Brick out traps and save the man!,4.5,4.5262876,
